NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
LARTOU,"1,425.65","1,425.35","1,432.40","1,449.90","1,420.50","1,425.35",2019-10-11 10:55:50,2019-10-11,10,55
HINLEV,"1,990.00","1,967.50","1,995.00","1,998.00","1,976.90","1,967.50",2019-10-11 10:55:50,2019-10-11,10,55
AXIBAN,674.70,672.90,675.10,685.90,668.70,672.90,2019-10-11 10:55:50,2019-10-11,10,55
STABAN,254.45,254.05,256.70,261.40,251.60,254.05,2019-10-11 10:55:50,2019-10-11,10,55
BAJFI,"3,961.65","3,948.45","3,973.00","4,015.00","3,925.20","3,948.45",2019-10-11 10:55:50,2019-10-11,10,55
MARUTI,"6,665.00","6,610.15","6,650.00","6,719.25","6,630.00","6,610.15",2019-10-11 10:55:50,2019-10-11,10,55
INDBA,"1,204.70","1,228.95","1,240.00","1,253.85","1,193.60","1,228.95",2019-10-11 10:55:50,2019-10-11,10,55
ASIPAI,"1,785.00","1,778.45","1,782.00","1,801.60","1,778.85","1,778.45",2019-10-11 10:55:50,2019-10-11,10,55
BHAAIR,377.35,377.40,376.40,380.00,372.55,377.40,2019-10-11 10:55:50,2019-10-11,10,55
HCLTEC,"1,084.90","1,063.65","1,057.80","1,088.00","1,042.50","1,063.65",2019-10-11 10:55:50,2019-10-11,10,55
TITIND,"1,223.50","1,235.00","1,240.00","1,241.15","1,215.10","1,235.00",2019-10-11 10:55:50,2019-10-11,10,55
MAHMAH,561.25,566.55,570.00,575.50,558.50,566.55,2019-10-11 10:55:50,2019-10-11,10,55
BAFINS,"8,203.15","8,201.45","8,224.00","8,328.70","8,147.40","8,201.45",2019-10-11 10:55:50,2019-10-11,10,55
NTPC,117.20,117.10,116.70,118.25,116.70,117.10,2019-10-11 10:55:50,2019-10-11,10,55
NESIND,"13,905.55","13,839.85","13,840.00","13,990.00","13,840.00","13,839.85",2019-10-11 10:55:50,2019-10-11,10,55
POWGRI,202.00,199.15,199.90,204.15,199.00,199.15,2019-10-11 10:55:50,2019-10-11,10,55
ULTCEM,"4,005.95","3,980.55","3,982.00","4,085.00","3,970.00","3,980.55",2019-10-11 10:55:50,2019-10-11,10,55
TECMAH,704.85,710.85,702.50,709.25,698.05,710.85,2019-10-11 10:55:50,2019-10-11,10,55
SUNPHA,383.05,386.95,386.95,388.90,381.60,386.95,2019-10-11 10:55:50,2019-10-11,10,55
ONGC,128.80,125.40,125.45,129.65,125.45,125.40,2019-10-11 10:55:50,2019-10-11,10,55
BAAUTO,"2,898.05","2,888.00","2,878.00","2,924.50","2,878.00","2,888.00",2019-10-11 10:55:50,2019-10-11,10,55
BHARAS,"5,714.65","5,658.30","5,800.00","5,805.80","5,700.00","5,658.30",2019-10-11 10:55:50,2019-10-11,10,55
INDOIL,146.25,148.10,148.00,148.90,145.55,148.10,2019-10-11 10:55:50,2019-10-11,10,55
COALIN,188.70,184.50,185.00,190.20,185.00,184.50,2019-10-11 10:55:50,2019-10-11,10,55
WIPRO,238.70,239.15,237.60,240.00,236.70,239.15,2019-10-11 10:55:50,2019-10-11,10,55
HERHON,"2,585.60","2,601.95","2,618.80","2,634.00","2,568.90","2,601.95",2019-10-11 10:55:50,2019-10-11,10,55
BRIIND,"3,083.00","3,037.45","3,049.00","3,096.90","3,038.10","3,037.45",2019-10-11 10:55:50,2019-10-11,10,55
UNIP,583.50,583.30,582.50,590.20,581.00,583.30,2019-10-11 10:55:50,2019-10-11,10,55
DRREDD,"2,630.90","2,633.45","2,652.35","2,654.85","2,607.80","2,633.45",2019-10-11 10:55:50,2019-10-11,10,55
ADAPOR,399.00,399.95,407.30,407.30,396.10,399.95,2019-10-11 10:55:50,2019-10-11,10,55
GRASIM,694.80,696.15,700.00,705.80,688.25,696.15,2019-10-11 10:55:50,2019-10-11,10,55
VEDLIM,144.40,141.35,142.90,148.20,142.25,141.35,2019-10-11 10:55:50,2019-10-11,10,55
HINDAL,188.50,182.35,184.95,189.05,183.80,182.35,2019-10-11 10:55:50,2019-10-11,10,55
TATSTE,335.50,329.70,333.25,342.50,332.05,329.70,2019-10-11 10:55:50,2019-10-11,10,55
EICMOT,"18,077.45","18,060.05","18,209.20","18,329.75","17,934.00","18,060.05",2019-10-11 10:55:50,2019-10-11,10,55
GAIL,126.15,127.40,127.40,128.60,125.65,127.40,2019-10-11 10:55:50,2019-10-11,10,55
JSWSTE,215.80,213.80,215.50,220.80,214.20,213.80,2019-10-11 10:55:50,2019-10-11,10,55
BHAINF,255.35,256.70,256.70,258.10,252.60,256.70,2019-10-11 10:55:50,2019-10-11,10,55
CIPLA,416.00,422.25,425.00,425.00,389.55,422.25,2019-10-11 10:55:50,2019-10-11,10,55
TATMOT,118.10,116.90,117.70,119.85,117.25,116.90,2019-10-11 10:55:50,2019-10-11,10,55
ZEEENT,238.15,244.95,246.00,249.30,236.30,244.95,2019-10-11 10:55:50,2019-10-11,10,55
YESBAN,39.15,40.95,41.00,41.95,38.10,40.95,2019-10-11 10:55:50,2019-10-11,10,55
BSESEN,"38,028.96","37,880.40","37,994.48","38,345.41","37,737.85","37,880.40",2019-10-11 11:27:25,2019-10-11,11,27
HDFBAN,"1,201.65","1,199.95","1,213.00","1,224.10","1,189.10","1,199.95",2019-10-11 11:27:25,2019-10-11,11,27
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-11 11:27:25,2019-10-11,11,27
HDFC,"1,999.20","1,987.75","2,000.00","2,024.90","1,980.80","1,987.75",2019-10-11 11:27:25,2019-10-11,11,27
INFTEC,807.65,782.90,785.95,813.00,777.00,782.90,2019-10-11 11:27:25,2019-10-11,11,27
ICIBAN,427.70,423.70,429.40,433.30,422.15,423.70,2019-10-11 11:27:25,2019-10-11,11,27
ITC,243.20,242.95,243.00,246.20,241.25,242.95,2019-10-11 11:27:25,2019-10-11,11,27
TCS,"1,974.00","2,004.40","1,933.00","1,974.00","1,929.00","2,004.40",2019-10-11 11:27:25,2019-10-11,11,27
KOTMAH,"1,592.10","1,585.85","1,592.00","1,624.90","1,578.05","1,585.85",2019-10-11 11:27:25,2019-10-11,11,27
LARTOU,"1,430.00","1,425.35","1,432.40","1,449.90","1,420.50","1,425.35",2019-10-11 11:27:25,2019-10-11,11,27
HINLEV,"1,990.50","1,967.50","1,995.00","1,998.00","1,976.90","1,967.50",2019-10-11 11:27:25,2019-10-11,11,27
AXIBAN,677.10,672.90,675.10,685.90,668.70,672.90,2019-10-11 11:27:25,2019-10-11,11,27
STABAN,254.75,254.05,256.70,261.40,251.60,254.05,2019-10-11 11:27:25,2019-10-11,11,27
BAJFI,"3,960.35","3,948.45","3,973.00","4,015.00","3,925.20","3,948.45",2019-10-11 11:27:25,2019-10-11,11,27
MARUTI,"6,688.15","6,610.15","6,650.00","6,719.25","6,630.00","6,610.15",2019-10-11 11:27:25,2019-10-11,11,27
INDBA,"1,204.55","1,228.95","1,240.00","1,253.85","1,192.00","1,228.95",2019-10-11 11:27:25,2019-10-11,11,27
ASIPAI,"1,783.70","1,778.45","1,782.00","1,801.60","1,778.85","1,778.45",2019-10-11 11:27:25,2019-10-11,11,27
BHAAIR,378.90,377.40,376.40,380.00,372.55,377.40,2019-10-11 11:27:25,2019-10-11,11,27
HCLTEC,"1,083.25","1,063.65","1,057.80","1,089.85","1,042.50","1,063.65",2019-10-11 11:27:25,2019-10-11,11,27
TITIND,"1,231.70","1,235.00","1,240.00","1,241.15","1,215.10","1,235.00",2019-10-11 11:27:25,2019-10-11,11,27
MAHMAH,559.30,566.55,570.00,575.50,558.50,566.55,2019-10-11 11:27:25,2019-10-11,11,27
BAFINS,"8,199.50","8,201.45","8,224.00","8,328.70","8,147.40","8,201.45",2019-10-11 11:27:25,2019-10-11,11,27
NTPC,117.05,117.10,116.70,118.25,116.65,117.10,2019-10-11 11:27:25,2019-10-11,11,27
NESIND,"13,904.40","13,839.85","13,840.00","13,990.00","13,840.00","13,839.85",2019-10-11 11:27:25,2019-10-11,11,27
POWGRI,202.30,199.15,199.90,204.15,199.00,199.15,2019-10-11 11:27:25,2019-10-11,11,27
ULTCEM,"4,015.00","3,980.55","3,982.00","4,085.00","3,970.00","3,980.55",2019-10-11 11:27:25,2019-10-11,11,27
TECMAH,710.00,710.85,702.50,711.60,698.05,710.85,2019-10-11 11:27:25,2019-10-11,11,27
SUNPHA,383.35,386.95,386.95,388.90,381.60,386.95,2019-10-11 11:27:25,2019-10-11,11,27
ONGC,128.85,125.40,125.45,129.65,125.45,125.40,2019-10-11 11:27:25,2019-10-11,11,27
BAAUTO,"2,899.90","2,888.00","2,878.00","2,924.50","2,878.00","2,888.00",2019-10-11 11:27:25,2019-10-11,11,27
BHARAS,"5,691.00","5,658.30","5,800.00","5,805.80","5,691.00","5,658.30",2019-10-11 11:27:25,2019-10-11,11,27
INDOIL,144.55,148.10,148.00,148.90,143.95,148.10,2019-10-11 11:27:25,2019-10-11,11,27
COALIN,189.55,184.50,185.00,190.20,185.00,184.50,2019-10-11 11:27:25,2019-10-11,11,27
WIPRO,239.10,239.15,237.60,240.00,236.70,239.15,2019-10-11 11:27:25,2019-10-11,11,27
HERHON,"2,589.00","2,601.95","2,618.80","2,634.00","2,568.90","2,601.95",2019-10-11 11:27:25,2019-10-11,11,27
BRIIND,"3,077.90","3,037.45","3,049.00","3,096.90","3,038.10","3,037.45",2019-10-11 11:27:25,2019-10-11,11,27
UNIP,587.50,583.30,582.50,590.20,581.00,583.30,2019-10-11 11:27:25,2019-10-11,11,27
DRREDD,"2,631.00","2,633.45","2,652.35","2,654.85","2,607.80","2,633.45",2019-10-11 11:27:25,2019-10-11,11,27
ADAPOR,401.30,399.95,407.30,407.30,396.10,399.95,2019-10-11 11:27:25,2019-10-11,11,27
GRASIM,695.25,696.15,700.00,705.80,688.25,696.15,2019-10-11 11:27:25,2019-10-11,11,27
VEDLIM,144.35,141.35,142.90,148.20,142.25,141.35,2019-10-11 11:27:25,2019-10-11,11,27
HINDAL,187.30,182.35,184.95,189.05,183.80,182.35,2019-10-11 11:27:25,2019-10-11,11,27
TATSTE,335.20,329.70,333.25,342.50,332.05,329.70,2019-10-11 11:27:25,2019-10-11,11,27
EICMOT,"18,140.00","18,060.05","18,209.20","18,329.75","17,934.00","18,060.05",2019-10-11 11:27:25,2019-10-11,11,27
GAIL,126.00,127.40,127.40,128.60,125.45,127.40,2019-10-11 11:27:25,2019-10-11,11,27
JSWSTE,215.45,213.80,215.50,220.80,212.80,213.80,2019-10-11 11:27:25,2019-10-11,11,27
BHAINF,256.65,256.70,256.70,258.10,252.60,256.70,2019-10-11 11:27:25,2019-10-11,11,27
CIPLA,416.60,422.25,425.00,425.00,389.55,422.25,2019-10-11 11:27:25,2019-10-11,11,27
TATMOT,118.70,116.90,117.70,119.85,117.25,116.90,2019-10-11 11:27:25,2019-10-11,11,27
ZEEENT,244.50,244.95,246.00,249.30,235.10,244.95,2019-10-11 11:27:25,2019-10-11,11,27
YESBAN,37.85,40.95,41.00,41.95,37.00,40.95,2019-10-11 11:27:25,2019-10-11,11,27
BSESEN,"37,920.74","37,880.40","37,994.48","38,345.41","37,737.85","37,880.40",2019-10-11 11:58:49,2019-10-11,11,58
HDFBAN,"1,195.20","1,199.95","1,213.00","1,224.10","1,189.10","1,199.95",2019-10-11 11:58:49,2019-10-11,11,58
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-11 11:58:49,2019-10-11,11,58
HDFC,"1,997.20","1,987.75","2,000.00","2,024.90","1,980.80","1,987.75",2019-10-11 11:58:49,2019-10-11,11,58
INFTEC,807.15,782.90,785.95,813.00,777.00,782.90,2019-10-11 11:58:49,2019-10-11,11,58
ICIBAN,425.75,423.70,429.40,433.30,422.15,423.70,2019-10-11 11:58:49,2019-10-11,11,58
ITC,243.50,242.95,243.00,246.20,241.25,242.95,2019-10-11 11:58:49,2019-10-11,11,58
TCS,"1,978.60","2,004.40","1,933.00","1,981.30","1,929.00","2,004.40",2019-10-11 11:58:49,2019-10-11,11,58
KOTMAH,"1,580.60","1,585.85","1,592.00","1,624.90","1,575.75","1,585.85",2019-10-11 11:58:49,2019-10-11,11,58
LARTOU,"1,425.60","1,425.35","1,432.40","1,449.90","1,420.50","1,425.35",2019-10-11 11:58:49,2019-10-11,11,58
HINLEV,"1,994.55","1,967.50","1,995.00","1,998.00","1,976.90","1,967.50",2019-10-11 11:58:49,2019-10-11,11,58
AXIBAN,673.40,672.90,675.10,685.90,668.70,672.90,2019-10-11 11:58:49,2019-10-11,11,58
STABAN,254.15,254.05,256.70,261.40,251.60,254.05,2019-10-11 11:58:49,2019-10-11,11,58
BAJFI,"3,932.10","3,948.45","3,973.00","4,015.00","3,925.20","3,948.45",2019-10-11 11:58:49,2019-10-11,11,58
MARUTI,"6,668.95","6,610.15","6,650.00","6,719.25","6,630.00","6,610.15",2019-10-11 11:58:49,2019-10-11,11,58
INDBA,"1,203.35","1,228.95","1,240.00","1,253.85","1,192.00","1,228.95",2019-10-11 11:58:49,2019-10-11,11,58
ASIPAI,"1,773.15","1,778.45","1,782.00","1,801.60","1,764.55","1,778.45",2019-10-11 11:58:49,2019-10-11,11,58
BHAAIR,378.20,377.40,376.40,380.00,372.55,377.40,2019-10-11 11:58:49,2019-10-11,11,58
HCLTEC,"1,083.75","1,063.65","1,057.80","1,089.85","1,042.50","1,063.65",2019-10-11 11:58:49,2019-10-11,11,58
TITIND,"1,230.95","1,235.00","1,240.00","1,241.15","1,215.10","1,235.00",2019-10-11 11:58:49,2019-10-11,11,58
MAHMAH,558.00,566.55,570.00,575.50,555.80,566.55,2019-10-11 11:58:49,2019-10-11,11,58
BAFINS,"8,136.00","8,201.45","8,224.00","8,328.70","8,133.85","8,201.45",2019-10-11 11:58:49,2019-10-11,11,58
NTPC,116.80,117.10,116.70,118.25,116.65,117.10,2019-10-11 11:58:49,2019-10-11,11,58
NESIND,"13,910.00","13,839.85","13,840.00","13,990.00","13,840.00","13,839.85",2019-10-11 11:58:49,2019-10-11,11,58
POWGRI,203.05,199.15,199.90,204.15,199.00,199.15,2019-10-11 11:58:49,2019-10-11,11,58
