NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
BAFINS,"8,387.75","8,295.65","8,362.00","8,440.00","8,282.45","8,295.65",2019-10-18 10:19:21,2019-10-18,10,19
NTPC,120.35,118.60,119.80,121.50,118.50,118.60,2019-10-18 10:19:21,2019-10-18,10,19
NESIND,"14,595.15","14,512.75","14,510.00","14,640.10","14,392.35","14,512.75",2019-10-18 10:19:21,2019-10-18,10,19
POWGRI,199.35,197.70,197.00,201.00,197.00,197.70,2019-10-18 10:19:21,2019-10-18,10,19
ULTCEM,"4,345.00","4,257.40","4,260.00","4,350.00","4,256.90","4,257.40",2019-10-18 10:19:21,2019-10-18,10,19
TECMAH,725.90,726.25,724.85,732.15,723.05,726.25,2019-10-18 10:19:21,2019-10-18,10,19
SUNPHA,399.50,401.40,401.60,402.30,397.80,401.40,2019-10-18 10:19:21,2019-10-18,10,19
ONGC,142.35,141.35,141.00,142.40,140.00,141.35,2019-10-18 10:19:21,2019-10-18,10,19
BAAUTO,"3,104.10","3,110.30","3,120.00","3,123.45","3,085.00","3,110.30",2019-10-18 10:19:21,2019-10-18,10,19
BHARAS,"6,140.00","6,053.45","6,078.50","6,144.15","6,066.00","6,053.45",2019-10-18 10:19:21,2019-10-18,10,19
INDOIL,146.35,146.45,147.65,147.65,145.95,146.45,2019-10-18 10:19:21,2019-10-18,10,19
COALIN,201.60,199.35,199.00,202.50,197.90,199.35,2019-10-18 10:19:21,2019-10-18,10,19
WIPRO,250.00,248.05,248.10,250.65,248.10,248.05,2019-10-18 10:19:21,2019-10-18,10,19
HERHON,"2,649.85","2,628.60","2,629.00","2,661.65","2,615.10","2,628.60",2019-10-18 10:19:21,2019-10-18,10,19
BRIIND,"3,254.05","3,245.20","3,244.00","3,257.00","3,224.50","3,245.20",2019-10-18 10:19:21,2019-10-18,10,19
UNIP,592.35,592.40,591.70,597.20,589.00,592.40,2019-10-18 10:19:21,2019-10-18,10,19
DRREDD,"2,723.65","2,726.65","2,722.50","2,744.25","2,711.00","2,726.65",2019-10-18 10:19:21,2019-10-18,10,19
ADAPOR,412.35,408.95,410.00,413.35,408.45,408.95,2019-10-18 10:19:21,2019-10-18,10,19
GRASIM,727.10,724.75,724.75,732.45,718.00,724.75,2019-10-18 10:19:21,2019-10-18,10,19
VEDLIM,150.70,148.15,148.30,152.15,148.00,148.15,2019-10-18 10:19:21,2019-10-18,10,19
HINDAL,189.75,188.85,189.00,191.25,186.85,188.85,2019-10-18 10:19:21,2019-10-18,10,19
TATSTE,355.35,355.65,355.65,359.60,351.80,355.65,2019-10-18 10:19:21,2019-10-18,10,19
EICMOT,"20,160.15","20,518.00","20,550.15","20,668.60","20,036.85","20,518.00",2019-10-18 10:19:21,2019-10-18,10,19
GAIL,129.20,128.70,128.90,130.30,127.85,128.70,2019-10-18 10:19:21,2019-10-18,10,19
JSWSTE,221.75,223.35,223.90,224.40,220.65,223.35,2019-10-18 10:19:21,2019-10-18,10,19
BHAINF,258.00,257.20,257.50,258.15,254.45,257.20,2019-10-18 10:19:21,2019-10-18,10,19
CIPLA,444.45,446.30,448.15,448.75,442.95,446.30,2019-10-18 10:19:21,2019-10-18,10,19
TATMOT,136.30,138.15,140.00,141.80,135.55,138.15,2019-10-18 10:19:21,2019-10-18,10,19
ZEEENT,256.00,264.70,247.95,262.80,247.95,264.70,2019-10-18 10:19:21,2019-10-18,10,19
YESBAN,51.00,47.40,46.80,51.80,46.00,47.40,2019-10-18 10:19:21,2019-10-18,10,19
BSESEN,"39,232.29","39,052.06","39,087.83","39,261.20","38,963.60","39,052.06",2019-10-18 10:50:40,2019-10-18,10,50
HDFBAN,"1,230.15","1,220.80","1,222.30","1,233.85","1,222.30","1,220.80",2019-10-18 10:50:40,2019-10-18,10,50
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-18 10:50:40,2019-10-18,10,50
HDFC,"2,078.30","2,088.20","2,095.00","2,095.00","2,065.00","2,088.20",2019-10-18 10:50:40,2019-10-18,10,50
INFTEC,766.95,769.10,766.65,769.25,760.10,769.10,2019-10-18 10:50:40,2019-10-18,10,50
ICIBAN,437.85,440.55,438.40,441.10,435.35,440.55,2019-10-18 10:50:40,2019-10-18,10,50
ITC,247.65,245.85,246.50,247.65,245.00,245.85,2019-10-18 10:50:40,2019-10-18,10,50
TCS,"2,044.90","2,030.70","2,038.00","2,046.00","2,025.10","2,030.70",2019-10-18 10:50:40,2019-10-18,10,50
KOTMAH,"1,607.45","1,603.95","1,603.95","1,614.05","1,591.05","1,603.95",2019-10-18 10:50:40,2019-10-18,10,50
LARTOU,"1,450.00","1,424.25","1,428.00","1,455.45","1,425.80","1,424.25",2019-10-18 10:50:40,2019-10-18,10,50
HINLEV,"2,111.90","2,103.60","2,100.00","2,114.00","2,091.00","2,103.60",2019-10-18 10:50:40,2019-10-18,10,50
AXIBAN,708.70,710.55,710.90,714.75,705.70,710.55,2019-10-18 10:50:40,2019-10-18,10,50
STABAN,268.10,265.45,264.50,269.90,263.50,265.45,2019-10-18 10:50:40,2019-10-18,10,50
BAJFI,"4,154.70","4,105.20","4,120.00","4,200.00","4,082.80","4,105.20",2019-10-18 10:50:40,2019-10-18,10,50
MARUTI,"7,200.00","7,123.10","7,105.00","7,234.65","7,062.95","7,123.10",2019-10-18 10:50:40,2019-10-18,10,50
INDBA,"1,325.75","1,339.80","1,338.00","1,338.00","1,320.35","1,339.80",2019-10-18 10:50:40,2019-10-18,10,50
ASIPAI,"1,814.90","1,812.95","1,812.95","1,823.85","1,788.70","1,812.95",2019-10-18 10:50:40,2019-10-18,10,50
BHAAIR,382.80,385.75,385.00,385.00,380.50,385.75,2019-10-18 10:50:40,2019-10-18,10,50
HCLTEC,"1,095.30","1,092.90","1,103.00","1,103.00","1,088.25","1,092.90",2019-10-18 10:50:40,2019-10-18,10,50
TITIND,"1,283.10","1,276.85","1,287.70","1,287.70","1,274.40","1,276.85",2019-10-18 10:50:40,2019-10-18,10,50
MAHMAH,587.30,593.15,589.75,592.35,586.15,593.15,2019-10-18 10:50:40,2019-10-18,10,50
BAFINS,"8,383.45","8,295.65","8,362.00","8,440.00","8,282.45","8,295.65",2019-10-18 10:50:40,2019-10-18,10,50
NTPC,119.65,118.60,119.80,121.50,118.50,118.60,2019-10-18 10:50:40,2019-10-18,10,50
