NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
BAJFI,4098.00,4105.20,4120.00,4120.00,4082.80,4105.20,-7.20,-0.18,1978,09:19:50.000,4115.25,2000.80,2019-10-18 09:19:27,2019-10-18,09,19
MARUTI,7077.80,7123.10,7105.00,7105.00,7062.95,7123.10,-45.30,-0.64,2151,09:19:52.000,7929.00,5447.00,2019-10-18 09:19:27,2019-10-18,09,19
INDBA,1325.00,1339.80,1338.00,1338.00,1323.00,1339.80,-14.80,-1.10,7317,09:19:56.000,1835.00,1192.00,2019-10-18 09:19:27,2019-10-18,09,19
ASIPAI,1803.65,1812.95,1812.95,1815.65,1801.20,1812.95,-9.30,-0.51,1755,09:20:00.000,1824.15,1119.60,2019-10-18 09:19:27,2019-10-18,09,19
BHAAIR,382.45,385.75,385.00,385.00,382.20,385.75,-3.30,-0.86,3476,09:20:01.000,396.55,264.41,2019-10-18 09:19:27,2019-10-18,09,19
HCLTEC,1094.55,1092.90,1103.00,1103.00,1090.95,1092.90,1.65,+0.15,373,09:20:03.000,1190.00,920.15,2019-10-18 09:19:27,2019-10-18,09,19
TITIND,1278.95,1276.85,1287.70,1287.70,1274.40,1276.85,2.10,+0.16,2211,09:20:04.000,1345.55,766.65,2019-10-18 09:19:27,2019-10-18,09,19
MAHMAH,587.00,593.15,589.75,591.10,586.70,593.15,-6.15,-1.04,2123,09:20:08.000,814.00,502.85,2019-10-18 09:19:27,2019-10-18,09,19
BAFINS,8328.15,8295.65,8362.00,8362.00,8282.45,8295.65,32.50,+0.39,576,09:20:09.000,8668.65,4960.00,2019-10-18 09:19:27,2019-10-18,09,19
NTPC,118.75,118.60,119.80,119.80,118.55,118.60,0.15,+0.13,5482,09:20:09.000,145.85,106.71,2019-10-18 09:19:27,2019-10-18,09,19
NESIND,14437.55,14512.75,14510.00,14512.75,14392.35,14512.75,-75.20,-0.52,93,09:20:11.000,14606.60,9205.00,2019-10-18 09:19:27,2019-10-18,09,19
POWGRI,197.65,197.70,197.00,197.70,197.00,197.70,-0.05,-0.03,1578,09:20:12.000,216.20,173.05,2019-10-18 09:19:27,2019-10-18,09,19
ULTCEM,4288.10,4257.40,4260.00,4303.60,4256.90,4257.40,30.70,+0.72,962,09:20:13.000,4903.90,3263.70,2019-10-18 09:19:27,2019-10-18,09,19
TECMAH,732.00,726.25,724.85,732.15,723.05,726.25,5.75,+0.79,3325,09:20:14.000,846.00,607.90,2019-10-18 09:19:27,2019-10-18,09,19
SUNPHA,399.55,401.40,401.60,401.60,397.80,401.40,-1.85,-0.46,7164,09:20:16.000,616.50,350.40,2019-10-18 09:19:27,2019-10-18,09,19
ONGC,140.25,141.35,141.00,141.15,140.00,141.35,-1.10,-0.78,8593,09:20:18.000,178.95,115.55,2019-10-18 09:19:27,2019-10-18,09,19
BAAUTO,3095.70,3110.30,3120.00,3123.45,3088.55,3110.30,-14.60,-0.47,795,09:20:20.000,3145.55,2400.00,2019-10-18 09:19:27,2019-10-18,09,19
BHARAS,NA,6053.45,NA,NA,NA,6053.45,NA,NA,NA,09:20:18.000,6539.00,3352.10,2019-10-18 09:19:27,2019-10-18,09,19
INDOIL,146.75,146.45,147.65,147.65,145.95,146.45,0.30,+0.20,4599,09:20:23.000,170.40,116.10,2019-10-18 09:19:27,2019-10-18,09,19
COALIN,198.25,199.35,199.00,199.00,197.90,199.35,-1.10,-0.55,15369,09:20:25.000,288.30,177.80,2019-10-18 09:19:27,2019-10-18,09,19
WIPRO,250.30,248.05,248.10,250.45,248.10,248.05,2.25,+0.91,6828,09:20:27.000,301.55,220.50,2019-10-18 09:19:27,2019-10-18,09,19
HERHON,2621.80,2628.60,2629.00,2631.70,2615.10,2628.60,-6.80,-0.26,591,09:20:29.000,3382.70,2228.25,2019-10-18 09:19:27,2019-10-18,09,19
BRIIND,3224.95,3245.20,3244.00,3244.00,3224.95,3245.20,-20.25,-0.62,273,09:20:31.000,3443.90,2302.00,2019-10-18 09:19:27,2019-10-18,09,19
UNIP,591.10,592.40,591.70,591.90,589.00,592.40,-1.30,-0.22,2245,09:20:32.000,709.25,390.53,2019-10-18 09:19:27,2019-10-18,09,19
DRREDD,2721.10,2726.65,2722.50,2725.20,2718.00,2726.65,-5.55,-0.20,166,09:20:23.000,2965.20,2065.30,2019-10-18 09:19:27,2019-10-18,09,19
ADAPOR,409.50,408.95,410.00,410.95,408.45,408.95,0.55,+0.13,3883,09:20:34.000,430.00,293.95,2019-10-18 09:19:27,2019-10-18,09,19
GRASIM,721.05,724.75,724.75,724.75,718.00,724.75,-3.70,-0.51,2867,09:20:35.000,958.55,635.60,2019-10-18 09:19:27,2019-10-18,09,19
VEDLIM,149.10,148.15,148.30,149.10,148.00,148.15,0.95,+0.64,69101,09:20:36.000,228.00,125.70,2019-10-18 09:19:27,2019-10-18,09,19
HINDAL,186.85,188.85,189.00,189.00,186.85,188.85,-2.00,-1.06,9112,09:20:36.000,246.00,171.25,2019-10-18 09:19:27,2019-10-18,09,19
TATSTE,353.45,355.65,355.65,355.65,352.00,355.65,-2.20,-0.62,42108,09:20:38.000,610.00,320.30,2019-10-18 09:19:27,2019-10-18,09,19
EICMOT,20314.00,20518.00,20550.15,20565.90,20245.60,20518.00,-204.00,-0.99,453,09:20:39.000,25300.00,15196.95,2019-10-18 09:19:27,2019-10-18,09,19
GAIL,128.40,128.70,128.90,128.90,127.85,128.70,-0.30,-0.23,3977,09:20:40.000,190.98,119.65,2019-10-18 09:19:27,2019-10-18,09,19
JSWSTE,221.15,223.35,223.90,223.90,220.65,223.35,-2.20,-0.99,12518,09:20:42.000,378.05,201.90,2019-10-18 09:19:27,2019-10-18,09,19
BHAINF,254.50,257.20,257.50,257.50,254.50,257.20,-2.70,-1.05,1321,09:20:43.000,333.80,238.70,2019-10-18 09:19:27,2019-10-18,09,19
CIPLA,444.20,446.30,448.15,448.75,442.95,446.30,-2.10,-0.47,6642,09:20:45.000,646.25,389.55,2019-10-18 09:19:27,2019-10-18,09,19
TATMOT,136.10,138.15,140.00,140.00,136.10,138.15,-2.05,-1.48,298783,09:20:46.000,239.30,106.00,2019-10-18 09:19:27,2019-10-18,09,19
ZEEENT,257.35,264.70,247.95,262.80,247.95,264.70,-7.35,-2.78,149759,09:20:47.000,506.10,203.70,2019-10-18 09:19:27,2019-10-18,09,19
YESBAN,46.65,47.40,46.80,47.20,46.00,47.40,-0.75,-1.58,993178,09:20:50.000,285.90,29.05,2019-10-18 09:19:27,2019-10-18,09,19
BSESEN,38999.28,39052.06,39087.83,39087.83,38963.60,39052.06,-52.78,-0.14,NA,09:20:52.427,NA,NA,2019-10-18 09:20:50,2019-10-18,09,20
HDFBAN,1227.50,1220.80,1222.30,1229.65,1222.30,1220.80,6.70,+0.55,6581,09:20:54.000,1285.00,942.20,2019-10-18 09:20:50,2019-10-18,09,20
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 09:20:50,2019-10-18,09,20
HDFC,2073.75,2088.20,2095.00,2095.00,2065.00,2088.20,-14.45,-0.69,6889,09:20:57.000,2357.00,1646.00,2019-10-18 09:20:50,2019-10-18,09,20
INFTEC,767.50,769.10,766.65,769.25,763.00,769.10,-1.60,-0.21,17808,09:20:58.000,847.40,600.65,2019-10-18 09:20:50,2019-10-18,09,20
